analysis_date,kpi_name,detector_used,dimension_type,dimension_value,actual_value_sum_or_avg,expected_value_sum_or_avg,degradation_amount,contribution_share,contribution_rank,anomaly_count,severity_max,recommended_action,root_cause_statement
2026-07-27,pageviews,residual_anomaly,full_segment,en.wikipedia + mobile-web + automated,5195889.0,8103232.071428572,2907343.071428572,0.8011048857104776,1,1,WARNING,"Review pageviews drivers for full_segment = en.wikipedia + mobile-web + automated; check recent releases, tracking changes, campaign mix, and operational issues.","For pageviews on 2026-07-27, en.wikipedia + mobile-web + automated contributed 80.1% of measured degradation."
2026-07-27,pageviews,residual_anomaly,access,mobile-web,3053777.5,4868360.785714285,3629166.571428572,1.0,1,2,WARNING,"Review pageviews drivers for access = mobile-web; check recent releases, tracking changes, campaign mix, and operational issues.","For pageviews on 2026-07-27, mobile-web contributed 100.0% of measured degradation."
2026-07-27,pageviews,residual_anomaly,agent,automated,3053777.5,4868360.785714285,3629166.571428572,1.0,1,2,WARNING,"Review pageviews drivers for agent = automated; check recent releases, tracking changes, campaign mix, and operational issues.","For pageviews on 2026-07-27, automated contributed 100.0% of measured degradation."
2026-07-27,pageviews,residual_anomaly,project,en.wikipedia,5195889.0,8103232.071428572,2907343.071428572,0.8011048857104776,1,1,WARNING,"Review pageviews drivers for project = en.wikipedia; check recent releases, tracking changes, campaign mix, and operational issues.","For pageviews on 2026-07-27, en.wikipedia contributed 80.1% of measured degradation."
2026-07-27,pageviews,residual_anomaly,project_access,en.wikipedia + mobile-web,5195889.0,8103232.071428572,2907343.071428572,0.8011048857104776,1,1,WARNING,"Review pageviews drivers for project_access = en.wikipedia + mobile-web; check recent releases, tracking changes, campaign mix, and operational issues.","For pageviews on 2026-07-27, en.wikipedia + mobile-web contributed 80.1% of measured degradation."
2026-08-03,pageviews,residual_anomaly,full_segment,en.wikipedia + mobile-web + automated,5254285.0,7256714.178571428,2002429.1785714282,1.0,1,1,WARNING,"Review pageviews drivers for full_segment = en.wikipedia + mobile-web + automated; check recent releases, tracking changes, campaign mix, and operational issues.","For pageviews on 2026-08-03, en.wikipedia + mobile-web + automated contributed 100.0% of measured degradation."
2026-07-26,pageviews,residual_anomaly,full_segment,ru.wikipedia + mobile-web + automated,917221.0,1656576.107142857,739355.107142857,1.0,1,1,WARNING,"Review pageviews drivers for full_segment = ru.wikipedia + mobile-web + automated; check recent releases, tracking changes, campaign mix, and operational issues.","For pageviews on 2026-07-26, ru.wikipedia + mobile-web + automated contributed 100.0% of measured degradation."
2026-07-25,pageviews,residual_anomaly,full_segment,ru.wikipedia + mobile-web + automated,1064275.0,1690252.2857142857,625977.2857142857,1.0,1,1,WARNING,"Review pageviews drivers for full_segment = ru.wikipedia + mobile-web + automated; check recent releases, tracking changes, campaign mix, and operational issues.","For pageviews on 2026-07-25, ru.wikipedia + mobile-web + automated contributed 100.0% of measured degradation."
2026-07-24,pageviews,residual_anomaly,full_segment,ru.wikipedia + mobile-web + automated,1089780.0,1706044.9642857143,616264.9642857143,1.0,1,1,WARNING,"Review pageviews drivers for full_segment = ru.wikipedia + mobile-web + automated; check recent releases, tracking changes, campaign mix, and operational issues.","For pageviews on 2026-07-24, ru.wikipedia + mobile-web + automated contributed 100.0% of measured degradation."
2026-08-06,pageviews,residual_anomaly,full_segment,ru.wikipedia + mobile-web + automated,1107698.0,1521234.75,413536.75,1.0,1,1,WARNING,"Review pageviews drivers for full_segment = ru.wikipedia + mobile-web + automated; check recent releases, tracking changes, campaign mix, and operational issues.","For pageviews on 2026-08-06, ru.wikipedia + mobile-web + automated contributed 100.0% of measured degradation."
