analysis_date,kpi_name,detector_used,dimension_type,dimension_value,actual_value_sum_or_avg,expected_value_sum_or_avg,degradation_amount,contribution_share,contribution_rank,anomaly_count,severity_max,recommended_action
2026-02-08,revenue_per_session,residual_anomaly,browser,Firefox,0.347921,0.43227899999999997,0.08435799999999999,1.0,1,1,WARNING,"Review revenue_per_session drivers for browser = Firefox; check recent releases, tracking changes, campaign mix, and operational issues."
2026-02-08,revenue_per_session,residual_anomaly,business_segment,Mid-Market,0.347921,0.43227899999999997,0.08435799999999999,1.0,1,1,WARNING,"Review revenue_per_session drivers for business_segment = Mid-Market; check recent releases, tracking changes, campaign mix, and operational issues."
2026-02-08,revenue_per_session,residual_anomaly,channel,Organic,0.347921,0.43227899999999997,0.08435799999999999,1.0,1,1,WARNING,"Review revenue_per_session drivers for channel = Organic; check recent releases, tracking changes, campaign mix, and operational issues."
2026-02-08,revenue_per_session,residual_anomaly,device_type,Desktop,0.347921,0.43227899999999997,0.08435799999999999,1.0,1,1,WARNING,"Review revenue_per_session drivers for device_type = Desktop; check recent releases, tracking changes, campaign mix, and operational issues."
2026-02-08,revenue_per_session,residual_anomaly,full_segment,North America + Desktop + Firefox + Organic + Mid-Market,0.347921,0.43227899999999997,0.08435799999999999,1.0,1,1,WARNING,"Review revenue_per_session drivers for full_segment = North America + Desktop + Firefox + Organic + Mid-Market; check recent releases, tracking changes, campaign mix, and operational issues."
2026-02-08,revenue_per_session,residual_anomaly,region,North America,0.347921,0.43227899999999997,0.08435799999999999,1.0,1,1,WARNING,"Review revenue_per_session drivers for region = North America; check recent releases, tracking changes, campaign mix, and operational issues."
2026-02-08,revenue_per_session,residual_anomaly,region_device_browser,North America + Desktop + Firefox,0.347921,0.43227899999999997,0.08435799999999999,1.0,1,1,WARNING,"Review revenue_per_session drivers for region_device_browser = North America + Desktop + Firefox; check recent releases, tracking changes, campaign mix, and operational issues."
2026-02-09,revenue_per_session,residual_anomaly,browser,Firefox,0.398579,0.47893325,0.08035424999999996,0.41120585432005563,1,1,WARNING,"Review revenue_per_session drivers for browser = Firefox; check recent releases, tracking changes, campaign mix, and operational issues."
2026-02-09,revenue_per_session,residual_anomaly,browser,Chrome,0.320531,0.38515625,0.06462524999999997,0.3307140709657196,2,1,WARNING,"Review revenue_per_session drivers for browser = Chrome; check recent releases, tracking changes, campaign mix, and operational issues."
2026-02-09,revenue_per_session,residual_anomaly,browser,Safari,0.328543,0.37897475,0.05043175000000005,0.2580800747142248,3,1,WARNING,"Review revenue_per_session drivers for browser = Safari; check recent releases, tracking changes, campaign mix, and operational issues."
2026-02-09,revenue_per_session,residual_anomaly,business_segment,Enterprise,0.398579,0.47893325,0.08035424999999996,0.41120585432005563,1,1,WARNING,"Review revenue_per_session drivers for business_segment = Enterprise; check recent releases, tracking changes, campaign mix, and operational issues."
2026-02-09,revenue_per_session,residual_anomaly,business_segment,Mid-Market,0.320531,0.38515625,0.06462524999999997,0.3307140709657196,2,1,WARNING,"Review revenue_per_session drivers for business_segment = Mid-Market; check recent releases, tracking changes, campaign mix, and operational issues."
2026-02-09,revenue_per_session,residual_anomaly,business_segment,SMB,0.328543,0.37897475,0.05043175000000005,0.2580800747142248,3,1,WARNING,"Review revenue_per_session drivers for business_segment = SMB; check recent releases, tracking changes, campaign mix, and operational issues."
2026-02-09,revenue_per_session,residual_anomaly,channel,Email,0.398579,0.47893325,0.08035424999999996,0.41120585432005563,1,1,WARNING,"Review revenue_per_session drivers for channel = Email; check recent releases, tracking changes, campaign mix, and operational issues."
2026-02-09,revenue_per_session,residual_anomaly,channel,Organic,0.320531,0.38515625,0.06462524999999997,0.3307140709657196,2,1,WARNING,"Review revenue_per_session drivers for channel = Organic; check recent releases, tracking changes, campaign mix, and operational issues."
2026-02-09,revenue_per_session,residual_anomaly,channel,Paid Search,0.328543,0.37897475,0.05043175000000005,0.2580800747142248,3,1,WARNING,"Review revenue_per_session drivers for channel = Paid Search; check recent releases, tracking changes, campaign mix, and operational issues."
2026-02-09,revenue_per_session,residual_anomaly,device_type,Desktop,0.363561,0.428954,0.130786,0.6692859290342804,1,2,WARNING,"Review revenue_per_session drivers for device_type = Desktop; check recent releases, tracking changes, campaign mix, and operational issues."
2026-02-09,revenue_per_session,residual_anomaly,device_type,Mobile,0.320531,0.38515625,0.06462524999999997,0.3307140709657196,2,1,WARNING,"Review revenue_per_session drivers for device_type = Mobile; check recent releases, tracking changes, campaign mix, and operational issues."
2026-02-09,revenue_per_session,residual_anomaly,full_segment,APAC + Desktop + Firefox + Email + Enterprise,0.398579,0.47893325,0.08035424999999996,0.41120585432005563,1,1,WARNING,"Review revenue_per_session drivers for full_segment = APAC + Desktop + Firefox + Email + Enterprise; check recent releases, tracking changes, campaign mix, and operational issues."
2026-02-09,revenue_per_session,residual_anomaly,full_segment,EMEA + Mobile + Chrome + Organic + Mid-Market,0.320531,0.38515625,0.06462524999999997,0.3307140709657196,2,1,WARNING,"Review revenue_per_session drivers for full_segment = EMEA + Mobile + Chrome + Organic + Mid-Market; check recent releases, tracking changes, campaign mix, and operational issues."
