date,kpi_name,region,device_type,browser,channel,business_segment,impressions,clicks,conversions,orders,revenue,latency_ms,kpi_value,is_incident,incident_id,incident_type,incident_description
2026-02-01,conversion_rate,North America,Desktop,Chrome,Organic,SMB,819,64,6,5,309.61,157.24,0.09375,False,,,
2026-02-01,click_through_rate,North America,Desktop,Chrome,Organic,SMB,819,64,6,5,309.61,157.24,0.078144,False,,,
2026-02-01,average_order_value,North America,Desktop,Chrome,Organic,SMB,819,64,6,5,309.61,157.24,61.922497,False,,,
2026-02-01,latency_ms,North America,Desktop,Chrome,Organic,SMB,819,64,6,5,309.61,157.24,157.244983,False,,,
2026-02-01,revenue_per_session,North America,Desktop,Chrome,Organic,SMB,819,64,6,5,309.61,157.24,0.378037,False,,,
2026-02-01,conversion_rate,North America,Desktop,Chrome,Organic,Mid-Market,917,73,8,6,430.18,173.25,0.109589,False,,,
2026-02-01,click_through_rate,North America,Desktop,Chrome,Organic,Mid-Market,917,73,8,6,430.18,173.25,0.079607,False,,,
2026-02-01,average_order_value,North America,Desktop,Chrome,Organic,Mid-Market,917,73,8,6,430.18,173.25,71.696065,False,,,
2026-02-01,latency_ms,North America,Desktop,Chrome,Organic,Mid-Market,917,73,8,6,430.18,173.25,173.247669,False,,,
2026-02-01,revenue_per_session,North America,Desktop,Chrome,Organic,Mid-Market,917,73,8,6,430.18,173.25,0.469113,False,,,
2026-02-01,conversion_rate,North America,Desktop,Chrome,Organic,Enterprise,1202,98,12,9,763.06,159.14,0.122449,False,,,
2026-02-01,click_through_rate,North America,Desktop,Chrome,Organic,Enterprise,1202,98,12,9,763.06,159.14,0.081531,False,,,
2026-02-01,average_order_value,North America,Desktop,Chrome,Organic,Enterprise,1202,98,12,9,763.06,159.14,84.784871,False,,,
2026-02-01,latency_ms,North America,Desktop,Chrome,Organic,Enterprise,1202,98,12,9,763.06,159.14,159.136106,False,,,
2026-02-01,revenue_per_session,North America,Desktop,Chrome,Organic,Enterprise,1202,98,12,9,763.06,159.14,0.634828,False,,,
2026-02-01,conversion_rate,North America,Desktop,Chrome,Paid Search,SMB,974,84,8,6,385.06,162.69,0.095238,False,,,
