incident_id,date,kpi_affected,severity,confidence_label,confidence_score,top_root_cause,recommended_action,detector_used
INC-20260518-LATENCY-MS-RESIDUAL-ANOMALY,2026-05-18,latency_ms,CRITICAL,High,0.855,North America + Desktop + Chrome,"Inspect regional latency, CDN routing, and browser-specific performance logs.",residual_anomaly
INC-20260605-CONVERSION-RATE-RESIDUAL-ANOMALY,2026-06-05,conversion_rate,CRITICAL,High,0.855,APAC + Mobile + Safari,Review mobile Safari checkout/session flow.,residual_anomaly
INC-20260408-REVENUE-PER-SESSION-RESIDUAL-ANOMALY,2026-04-08,revenue_per_session,CRITICAL,Medium,0.75,North America + Mobile + Chrome,Review paid-search landing page quality for the affected segment.,residual_anomaly
INC-20260519-LATENCY-MS-RESIDUAL-ANOMALY,2026-05-19,latency_ms,CRITICAL,High,0.855,North America + Desktop + Chrome,"Inspect regional latency, CDN routing, and browser-specific performance logs.",residual_anomaly
INC-20260520-LATENCY-MS-RESIDUAL-ANOMALY,2026-05-20,latency_ms,CRITICAL,High,0.855,North America + Desktop + Chrome,"Inspect regional latency, CDN routing, and browser-specific performance logs.",residual_anomaly
INC-20260521-LATENCY-MS-RESIDUAL-ANOMALY,2026-05-21,latency_ms,CRITICAL,High,0.855,North America + Desktop + Chrome,"Inspect regional latency, CDN routing, and browser-specific performance logs.",residual_anomaly
INC-20260522-LATENCY-MS-RESIDUAL-ANOMALY,2026-05-22,latency_ms,CRITICAL,High,0.855,North America + Desktop + Chrome,"Inspect regional latency, CDN routing, and browser-specific performance logs.",residual_anomaly
INC-20260523-LATENCY-MS-RESIDUAL-ANOMALY,2026-05-23,latency_ms,CRITICAL,High,0.855,North America + Desktop + Chrome,"Inspect regional latency, CDN routing, and browser-specific performance logs.",residual_anomaly
INC-20260524-LATENCY-MS-RESIDUAL-ANOMALY,2026-05-24,latency_ms,CRITICAL,High,0.855,North America + Desktop + Chrome,"Inspect regional latency, CDN routing, and browser-specific performance logs.",residual_anomaly
INC-20260525-LATENCY-MS-RESIDUAL-ANOMALY,2026-05-25,latency_ms,CRITICAL,High,0.855,North America + Desktop + Chrome,"Inspect regional latency, CDN routing, and browser-specific performance logs.",residual_anomaly
INC-20260606-CONVERSION-RATE-RESIDUAL-ANOMALY,2026-06-06,conversion_rate,CRITICAL,High,0.855,APAC + Mobile + Safari,Review mobile Safari checkout/session flow.,residual_anomaly
INC-20260607-CONVERSION-RATE-RESIDUAL-ANOMALY,2026-06-07,conversion_rate,CRITICAL,High,0.855,APAC + Mobile + Safari,Review mobile Safari checkout/session flow.,residual_anomaly
