analysis_date,kpi_name,detector_used,dimension_type,dimension_value,actual_value_sum_or_avg,expected_value_sum_or_avg,degradation_amount,contribution_share,contribution_rank,anomaly_count,severity_max,recommended_action,root_cause_statement
2026-05-18,latency_ms,residual_anomaly,region_device_browser,North America + Desktop + Chrome,343.28055466666666,158.90722914285715,1659.3599297142857,1.0,1,9,CRITICAL,"Review latency_ms drivers for region_device_browser = North America + Desktop + Chrome; check recent releases, tracking changes, campaign mix, and operational issues.","For latency_ms on 2026-05-18, North America + Desktop + Chrome accounted for 100.0% of excess latency."
2026-06-19,revenue_per_session,residual_anomaly,region_device_browser,EMEA + Desktop + Firefox,0.379663,0.6257354642857142,0.49214492857142855,0.08316089991301938,1,2,CRITICAL,"Review revenue_per_session drivers for region_device_browser = EMEA + Desktop + Firefox; check recent releases, tracking changes, campaign mix, and operational issues.","For revenue_per_session on 2026-06-19, EMEA + Desktop + Firefox contributed 8.3% of measured degradation."
2026-06-06,conversion_rate,residual_anomaly,region_device_browser,APAC + Mobile + Safari,0.04933155555555556,0.09100612301587302,0.3750711071428572,1.0,1,9,CRITICAL,"Review conversion_rate drivers for region_device_browser = APAC + Mobile + Safari; check recent releases, tracking changes, campaign mix, and operational issues.","For conversion_rate on 2026-06-06, APAC + Mobile + Safari contributed 100.0% of measured degradation."
2026-05-18,latency_ms,residual_anomaly,browser,Chrome,343.28055466666666,158.90722914285715,1659.3599297142857,1.0,1,9,CRITICAL,"Review latency_ms drivers for browser = Chrome; check recent releases, tracking changes, campaign mix, and operational issues.","For latency_ms on 2026-05-18, Chrome accounted for 100.0% of excess latency."
2026-05-18,latency_ms,residual_anomaly,device_type,Desktop,343.28055466666666,158.90722914285715,1659.3599297142857,1.0,1,9,CRITICAL,"Review latency_ms drivers for device_type = Desktop; check recent releases, tracking changes, campaign mix, and operational issues.","For latency_ms on 2026-05-18, Desktop accounted for 100.0% of excess latency."
2026-05-18,latency_ms,residual_anomaly,region,North America,343.28055466666666,158.90722914285715,1659.3599297142857,1.0,1,9,CRITICAL,"Review latency_ms drivers for region = North America; check recent releases, tracking changes, campaign mix, and operational issues.","For latency_ms on 2026-05-18, North America accounted for 100.0% of excess latency."
2026-05-19,latency_ms,residual_anomaly,business_segment,Mid-Market,354.3663873333333,165.49401645238098,566.6171126428571,0.3422142014676869,1,3,CRITICAL,"Review latency_ms drivers for business_segment = Mid-Market; check recent releases, tracking changes, campaign mix, and operational issues.","For latency_ms on 2026-05-19, Mid-Market accounted for 34.2% of excess latency."
2026-05-18,latency_ms,residual_anomaly,channel,Paid Search,346.48468366666674,158.8498509047619,562.9044982857143,0.33922989714632745,1,3,CRITICAL,"Review latency_ms drivers for channel = Paid Search; check recent releases, tracking changes, campaign mix, and operational issues.","For latency_ms on 2026-05-18, Paid Search accounted for 33.9% of excess latency."
2026-05-18,latency_ms,residual_anomaly,full_segment,North America + Desktop + Chrome + Paid Search + Enterprise,351.791402,156.7395422142857,195.0518597857143,0.11754644444095923,1,1,CRITICAL,"Review latency_ms drivers for full_segment = North America + Desktop + Chrome + Paid Search + Enterprise; check recent releases, tracking changes, campaign mix, and operational issues.","For latency_ms on 2026-05-18, North America + Desktop + Chrome + Paid Search + Enterprise accounted for 11.8% of excess latency."
2026-05-19,latency_ms,residual_anomaly,region_device_browser,North America + Desktop + Chrome,349.33869633333336,165.3677895436508,1655.7381611071428,1.0,1,9,CRITICAL,"Review latency_ms drivers for region_device_browser = North America + Desktop + Chrome; check recent releases, tracking changes, campaign mix, and operational issues.","For latency_ms on 2026-05-19, North America + Desktop + Chrome accounted for 100.0% of excess latency."
